"","id","choiceid","choice","price1","time1","change1","comfort1","price2","time2","change2","comfort2"
"1",1,1,"choice1",2400,150,0,1,4000,150,0,1
"2",1,2,"choice1",2400,150,0,1,3200,130,0,1
"3",1,3,"choice1",2400,115,0,1,4000,115,0,0
"4",1,4,"choice2",4000,130,0,1,3200,150,0,0
"5",1,5,"choice2",2400,150,0,1,3200,150,0,0
"6",1,6,"choice2",4000,115,0,0,2400,130,0,0
"7",1,7,"choice2",2400,150,0,1,3200,115,0,1
"8",1,8,"choice2",2400,115,0,1,3200,150,0,0
"9",1,9,"choice1",4000,115,0,0,3200,130,0,1
"10",1,10,"choice1",2400,150,0,1,4000,115,0,0
"11",2,1,"choice1",2975,108,0,0,3500,121,0,1
"12",2,2,"choice1",2975,93,0,1,3500,93,0,0
"13",2,3,"choice2",2450,121,0,0,2450,93,0,1
"14",2,4,"choice2",2975,93,0,1,2450,108,0,1
"15",2,5,"choice2",2975,93,0,1,2450,121,0,0
"16",2,6,"choice2",2975,108,0,0,2450,121,0,0
"17",2,7,"choice1",2975,108,0,0,3500,93,0,0
"18",2,8,"choice2",2975,108,0,0,2450,108,0,1
"19",2,9,"choice2",3500,108,0,1,2975,121,0,1
"20",2,10,"choice1",2975,93,0,1,2975,108,0,0
"21",2,11,"choice1",2450,108,0,1,2450,121,0,0
"22",3,1,"choice1",1920,106,0,0,2400,106,0,1
"23",3,2,"choice2",2400,96,0,0,1920,106,0,0
"24",3,3,"choice1",1920,96,0,1,2400,96,0,0
"25",3,4,"choice1",1440,121,0,0,1920,96,0,1
"26",3,5,"choice1",1920,121,0,1,2400,106,0,1
"27",3,6,"choice2",1920,106,0,0,1440,96,0,1
"28",3,7,"choice1",1920,106,0,0,1920,96,0,1
"29",3,8,"choice2",1920,106,0,0,1440,121,0,0
"30",3,9,"choice1",1440,96,0,1,1440,121,0,0
"31",3,10,"choice1",1440,106,0,1,1440,121,0,0
"32",3,11,"choice1",2400,96,0,0,1920,121,0,1
"33",4,1,"choice2",545,105,1,1,545,85,1,1
"34",4,2,"choice1",780,105,0,1,780,95,1,1
"35",4,3,"choice1",665,85,0,1,545,105,1,1
"36",4,4,"choice1",780,85,1,0,545,105,1,1
"37",4,5,"choice2",665,85,0,1,545,95,0,0
"38",4,6,"choice1",545,85,1,1,665,105,1,0
"39",4,7,"choice2",780,85,1,0,545,95,0,0
"40",4,8,"choice2",665,95,1,1,780,105,0,1
"41",4,9,"choice2",545,85,1,1,780,85,1,0
"42",4,10,"choice2",780,95,1,1,665,105,1,0
"43",4,11,"choice2",780,105,0,1,545,85,1,1
"44",4,12,"choice1",780,105,0,1,665,105,1,0
"45",4,13,"choice1",545,105,1,1,665,95,1,1
"46",4,14,"choice1",665,105,1,0,545,105,1,1
"47",4,15,"choice1",665,85,0,1,780,85,1,0
"48",5,1,"choice2",2800,122,1,0,1400,92,1,0
"49",5,2,"choice1",2800,92,0,1,2800,122,1,0
"50",5,3,"choice1",2800,107,1,1,2100,122,1,1
"51",5,4,"choice1",2100,122,1,1,2800,122,1,0
"52",5,5,"choice2",1400,122,0,1,1400,92,1,0
"53",5,6,"choice2",2800,92,0,1,1400,92,1,0
"54",5,7,"choice1",2800,92,0,1,1400,122,0,1
"55",5,8,"choice1",2800,107,1,1,1400,122,0,1
"56",5,9,"choice2",1400,107,1,1,2800,92,0,1
"57",5,10,"choice1",2100,107,0,0,1400,107,1,1
"58",5,11,"choice1",1400,92,1,0,2100,107,0,0
"59",5,12,"choice1",2100,92,1,1,1400,107,1,1
"60",5,13,"choice1",2100,92,1,1,2800,92,0,1
"61",5,14,"choice1",2100,92,1,1,2100,107,0,0
"62",5,15,"choice1",2800,92,0,1,2100,107,0,0
"63",6,1,"choice2",4680,155,1,1,3120,140,1,1
"64",6,2,"choice1",3120,125,2,1,4680,155,1,1
"65",6,4,"choice1",3900,155,2,1,4680,155,1,1
"66",6,5,"choice2",3120,155,1,2,3900,155,2,1
"67",6,6,"choice1",4680,125,1,1,3900,140,1,1
"68",6,7,"choice2",3120,155,1,2,4680,140,2,2
"69",6,8,"choice1",3120,125,2,1,3120,140,1,1
"70",6,9,"choice1",4680,125,1,1,3120,140,1,1
"71",6,10,"choice2",4680,125,1,1,3120,125,2,1
"72",7,1,"choice1",2800,125,0,1,4000,140,0,1
"73",7,2,"choice1",2800,160,0,0,3400,125,0,1
"74",7,3,"choice2",3400,140,0,0,2800,160,0,0
"75",7,4,"choice1",2800,140,0,1,3400,140,0,0
"76",7,5,"choice2",4000,125,0,0,3400,140,0,0
